lp,n,pk,pm,t,fmax,favg
1,30,0.5,0.0001,50,1.6495183583084974,1.6486925746304621
2,30,0.5,0.0001,60,1.6966053585884393,1.6956864470340474
3,30,0.5,0.0001,70,1.6748306488968006,1.6726596576194772
4,30,0.5,0.0001,80,1.6105829889810042,1.6101585359995563
5,30,0.5,0.0001,90,1.6145810227825423,1.6129374697701206
6,30,0.5,0.0001,100,1.6659332176331265,1.6632414657507042
7,30,0.5,0.0001,110,1.6748651429430346,1.6733237845301066
8,30,0.5,0.0001,120,1.6905352994785279,1.6898474796024794
9,30,0.5,0.0001,130,1.649041562915724,1.6463040754539602
10,30,0.5,0.0001,140,1.6207303315469375,1.61961234406459
11,30,0.5,0.0001,150,1.6405708519989477,1.639130932742256
12,30,0.5,0.0005,50,1.6515996320385389,1.6444304502965708
13,30,0.5,0.0005,60,1.6767999976288612,1.6703766984006072
14,30,0.5,0.0005,70,1.6270827436880708,1.6194145276765726
15,30,0.5,0.0005,80,1.6483964296705196,1.6407963554436498
16,30,0.5,0.0005,90,1.6572230395578378,1.6535680801493067
17,30,0.5,0.0005,100,1.6698067038365358,1.664947889933448
18,30,0.5,0.0005,110,1.6671250611394168,1.6632449505173181
19,30,0.5,0.0005,120,1.688325411146944,1.6847200231842174
20,30,0.5,0.0005,130,1.7001727554175168,1.6945091795963227
21,30,0.5,0.0005,140,1.6895175936299984,1.683597081899113
22,30,0.5,0.0005,150,1.6790779728069307,1.6741081705062175
23,30,0.5,0.001,50,1.6589279437067248,1.6427851938902558
24,30,0.5,0.001,60,1.714868251551737,1.7057974586246782
25,30,0.5,0.001,70,1.637401536139947,1.6251953284332643
26,30,0.5,0.001,80,1.6783377836628666,1.6651106879188335
27,30,0.5,0.001,90,1.7047859973327244,1.690209771134395
28,30,0.5,0.001,100,1.6927232206311311,1.6790976239161655
29,30,0.5,0.001,110,1.729364941825579,1.716676781752222
30,30,0.5,0.001,120,1.6871717727730657,1.6748747317172896
31,30,0.5,0.001,130,1.6985135192250234,1.685666082100261
32,30,0.5,0.001,140,1.6903274539156985,1.6755899077154424
33,30,0.5,0.001,150,1.7080055765854172,1.69513033390568
34,30,0.5,0.005,50,1.700578755160315,1.6411940089346644
35,30,0.5,0.005,60,1.7515078116617055,1.6623859779700505
36,30,0.5,0.005,70,1.7174904901957069,1.6395886940295565
37,30,0.5,0.005,80,1.7217272190860098,1.6458609705441696
38,30,0.5,0.005,90,1.7501260910668734,1.6677903951341233
39,30,0.5,0.005,100,1.7675231145367523,1.6860889343572767
40,30,0.5,0.005,110,1.7403425270145625,1.6633017324491852
41,30,0.5,0.005,120,1.724143116136175,1.6516156972502036
42,30,0.5,0.005,130,1.7350085965691813,1.652538081558519
43,30,0.5,0.005,140,1.7390436253498098,1.670613918987965
44,30,0.5,0.005,150,1.7342459025840293,1.6678545140259158
45,30,0.5,0.01,50,1.781137124060865,1.592787994814207
46,30,0.5,0.01,60,1.765508011051599,1.5865121566074922
47,30,0.5,0.01,70,1.7905260136871153,1.5977770227447605
48,30,0.5,0.01,80,1.8163681642036864,1.6494495690739797
49,30,0.5,0.01,90,1.7899679682275138,1.6165293072891243
50,30,0.5,0.01,100,1.8164409175004586,1.6415513436945925
51,30,0.5,0.01,110,1.7911857014159878,1.6103212356663172
52,30,0.5,0.01,120,1.8102094719193134,1.6341912265427183
53,30,0.5,0.01,130,1.8192850320270366,1.6302031184441605
54,30,0.5,0.01,140,1.8159222579685441,1.6218001135673064
55,30,0.5,0.01,150,1.803674405728121,1.617160218565324
56,30,0.55,0.0001,50,1.663422153563819,1.6633099574177206
57,30,0.55,0.0001,60,1.6324212460668903,1.6313479065937715
58,30,0.55,0.0001,70,1.6691356259048136,1.6681479200340825
59,30,0.55,0.0001,80,1.6520248871321288,1.6520248871321288
60,30,0.55,0.0001,90,1.6884214013263372,1.6864216334274817
61,30,0.55,0.0001,100,1.6471219776871784,1.646263331990602
62,30,0.55,0.0001,110,1.6905806022101768,1.687228172937293
